Date,Open,High,Low,Close,Adj Close,Volume,Pivot_1,Pivot_2,Pivot_3,Pivot_4,Pivot_5,feature_rsi,feature_vwap,feature_ema,feature_atr
2022-01-26 13:30:00,34598.78125,34805.25,34471.01953125,34626.53125,34626.53125,60102542,0,0,0,0,1,56.868068431835006,35528.43961923792,34728.626204958055,349.02427455357144
2022-01-26 14:30:00,34623.359375,34634.7109375,33876.48046875,34082.8984375,34082.8984375,99782128,0,0,0,-1,-1,41.926829471398335,35499.77971510228,34703.07590526928,366.14146205357144
2022-01-26 15:30:00,34082.7890625,34222.1015625,33949.76953125,34146.30078125,34146.30078125,75938383,0,0,-1,0,0,43.80528877022137,35477.298907498414,34681.053067366636,344.8666294642857
2022-01-27 09:30:00,34261.75,34773.3203125,34261.75,34503.12109375,34503.12109375,0,0,0,0,1,1,53.11601556157818,35477.298907498414,34674.017478851005,330.36216517857144
2022-01-27 10:30:00,34499.921875,34737.23828125,34414.51953125,34561.078125,34561.078125,69165200,0,0,1,0,0,54.4531994571277,35464.17613457526,34669.55320813033,333.5298549107143
2022-01-27 11:30:00,34562.53125,34684.94140625,34370.4296875,34394.69140625,34394.69140625,51914224,0,0,0,0,0,49.98806975839024,35453.631715355106,34658.69185376189,337.14285714285717
2022-01-27 12:30:00,34394.75,34418.01171875,34036.28125,34044.55859375,34044.55859375,54820093,0,0,0,0,0,42.06897832958964,35439.181334030654,34634.431231203256,347.04575892857144
2022-01-27 13:30:00,34046.671875,34306.08984375,34034.078125,34074.5703125,34074.5703125,50332549,0,0,0,0,0,42.91460873181158,35425.91059006668,34612.320945757456,345.03822544642856
2022-01-27 14:30:00,34074.5703125,34238.859375,34007.78125,34183.6015625,34183.6015625,50820531,0,0,0,0,-1,46.03650286359424,35412.83576805471,34595.39444709913,340.865234375
2022-01-27 15:30:00,34184.51171875,34327.05859375,34127.359375,34152.0703125,34152.0703125,61524233,0,0,0,0,1,45.2556932197342,35398.07577377939,34577.89598237951,341.48604910714283
2022-01-28 09:30:00,34135.23828125,34242.71875,33807.51171875,34004.2890625,34004.2890625,0,0,0,-1,-1,-1,41.64437391592794,35398.07577377939,34555.260900566274,336.46651785714283
2022-01-28 10:30:00,34006.859375,34264.80078125,33860.30078125,34239.16015625,34239.16015625,78635741,0,0,0,0,0,48.7368338181927,35378.48770697168,34542.79031933731,344.59793526785717
2022-01-28 11:30:00,34239.19140625,34407.390625,34197.53125,34270.87890625,34270.87890625,57325935,0,0,0,0,1,49.63858584586178,35366.468668719484,34532.06559085846,350.01004464285717
2022-01-28 12:30:00,34269.12890625,34348.359375,34168.58984375,34298.6015625,34298.6015625,43933248,0,0,0,0,0,50.46932237533266,35357.26720077054,34522.8593873596,353.06417410714283
2022-01-28 13:30:00,34299.5390625,34411.12890625,34085.51953125,34085.51953125,34085.51953125,49243284,0,0,0,0,0,44.33690986098336,35346.409600883206,34505.61748208249,352.44838169642856
2022-01-28 14:30:00,34085.8203125,34476.69140625,34042.78125,34431.26171875,34431.26171875,54125616,0,0,0,0,-1,54.18973545633101,35335.954609655644,34502.68665526827,329.2826450892857
2022-01-28 15:30:00,34430.62890625,34731.76953125,34346.9296875,34725.5703125,34725.5703125,77768373,0,0,0,0,0,60.65673729839239,35325.390875676734,34511.47013577255,337.3189174107143
2022-01-31 09:30:00,34691.171875,34844.0,34496.1015625,34745.19140625,34745.19140625,0,0,0,0,0,1,61.05657446868144,35325.390875676734,34520.67893455564,317.38169642857144
2022-01-31 10:30:00,34746.171875,34787.71875,34657.69140625,34672.98828125,34672.98828125,49907774,0,0,0,0,0,58.66325702213824,35319.727778093256,34526.678930068396,303.61802455357144
2022-01-31 11:30:00,34673.78125,34892.609375,34650.05078125,34851.7109375,34851.7109375,41107509,0,0,0,0,-1,62.619847631932544,35315.82820306907,34539.480796496355,298.478515625
2022-01-31 12:30:00,34851.19140625,34974.69140625,34815.98046875,34917.03125,34917.03125,39116926,0,0,0,0,0,63.99394529984271,35312.908994844904,34554.348640288845,282.54854910714283
2022-01-31 13:30:00,34917.62109375,35003.19140625,34894.171875,34996.87890625,34996.87890625,35607096,0,0,0,0,0,65.67650513349909,35310.6846080874,34571.77251439167,270.90625
2022-01-31 14:30:00,34996.96875,35011.28125,34835.01171875,34947.55078125,34947.55078125,43813562,0,0,0,0,0,63.67129603661122,35307.725220925684,34586.56581090091,266.99135044642856
2022-01-31 15:30:00,34947.98828125,35148.140625,34915.1484375,35127.2109375,35127.2109375,69966455,0,0,0,0,0,67.6015417412114,35304.720554705775,34607.84621385253,269.36941964285717
2022-02-01 09:30:00,35151.46875,35228.609375,34977.94921875,35073.05859375,35073.05859375,0,0,0,0,0,1,65.27934179971103,35304.720554705775,34626.15483580858,256.1875
2022-02-01 10:30:00,35073.078125,35200.08984375,35045.98828125,35133.03125,35133.03125,50026458,0,0,0,0,0,66.66289382637243,35303.16535214268,34646.100375958355,238.30189732142858
2022-02-01 11:30:00,35132.62890625,35179.5390625,35064.609375,35141.12109375,35141.12109375,40073366,0,0,0,0,-1,66.8572380570334,35301.953240049756,34665.576781395954,231.52120535714286
2022-02-01 12:30:00,35140.66015625,35159.6796875,35078.0390625,35150.8984375,35150.8984375,30174700,0,0,0,0,0,67.11003769158421,35301.05737482292,34684.66911909288,224.51199776785714
2022-02-01 13:30:00,35151.390625,35215.12890625,35123.26953125,35188.671875,35188.671875,28698731,0,0,0,0,0,68.13442385764584,35300.440875396875,34704.49390727241,207.81556919642858
2022-02-01 14:30:00,35188.58984375,35350.44921875,35173.171875,35346.25,35346.25,40283879,0,0,0,0,0,72.0903861036287,35300.36900498088,34729.73417567705,189.48465401785714
2022-02-01 15:30:00,35346.078125,35441.08984375,35308.58984375,35392.80859375,35392.80859375,52992710,0,0,0,0,0,73.16421991464942,35301.08811908104,34755.80991299337,171.46037946428572
2022-02-02 09:30:00,35378.19140625,35507.33984375,35318.33984375,35324.73828125,35324.73828125,0,0,0,0,0,1,68.93399788118685,35301.08811908104,34778.18085243787,160.11049107142858
2022-02-02 10:30:00,35325.0703125,35448.390625,35290.12109375,35372.578125,35372.578125,43429238,0,0,0,0,-1,70.25265881504919,35301.59183967372,34801.55079388801,162.12779017857142
2022-02-02 11:30:00,35373.76171875,35498.12109375,35330.921875,35464.5,35464.5,33187605,0,0,0,0,0,72.68316039647442,35302.307930311625,34827.61335292194,156.74497767857142
2022-02-02 12:30:00,35463.91015625,35566.21875,35444.5,35480.12109375,35480.12109375,30758709,0,0,0,0,0,73.09075681771917,35303.29968022638,34853.26292856688,154.10267857142858
2022-02-02 13:30:00,35482.26171875,35584.1484375,35480.328125,35562.71875,35562.71875,28207018,0,0,0,0,0,75.22325652492823,35304.41170593715,34881.14848083777,153.74609375
2022-02-02 14:30:00,35562.87109375,35662.1015625,35562.1796875,35630.1796875,35630.1796875,38238433,0,0,0,0,0,76.85733909512852,35306.37743381529,34910.58691995816,148.29268973214286
2022-02-02 15:30:00,35630.8984375,35679.19921875,35607.94140625,35618.12890625,35618.12890625,46706562,0,0,1,1,1,75.88207915179461,35308.87394637309,34938.392348395406,136.740234375
2022-02-03 09:30:00,35520.078125,35535.94140625,35270.140625,35376.58984375,35376.58984375,0,0,0,0,0,-1,59.400884509832196,35308.87394637309,34955.611480049934,143.69224330357142
2022-02-03 10:30:00,35378.05859375,35444.94140625,35361.5703125,35387.78125,35387.78125,43181615,0,0,0,0,1,59.841754002764866,35309.49607488896,34972.59239695729,138.64006696428572
2022-02-03 11:30:00,35388.05078125,35402.69140625,35276.80078125,35332.30859375,35332.30859375,36942590,0,0,0,0,0,56.522808865288326,35309.66075248574,34986.72536903098,139.42299107142858
2022-02-03 12:30:00,35332.51171875,35369.23046875,35251.26171875,35308.16015625,35308.16015625,27395074,0,0,0,0,-1,55.0722765039369,35309.66027102154,34999.35336533415,142.01785714285714
2022-02-03 13:30:00,35308.26953125,35387.30078125,35295.3203125,35309.91015625,35309.91015625,29825770,0,0,0,0,1,55.163241743151424,35309.76076411157,35011.55314301883,142.02650669642858
2022-02-03 14:30:00,35309.46875,35309.6015625,35173.41015625,35241.66015625,35241.66015625,41078359,0,0,0,0,0,50.788247852628686,35309.31803457715,35020.59195314658,139.11383928571428
